RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1815	04	01	Leeds Mercury	0002	1815	04	01	Caledonian Mercury	0002
1815	04	01	Leeds Mercury	0002	1815	04	01	Jackson’s Oxford Journal	0004
1815	04	02	Examiner	0001	1815	04	01	Caledonian Mercury	0002
1815	04	02	Examiner	0001	1815	04	01	Leeds Mercury	0002
1815	04	02	Examiner	0009	1815	04	01	Morning Chronicle	0002
1815	04	02	Examiner	0016	1815	04	01	Morning Chronicle	0003
1815	04	03	Caledonian Mercury	0002	1815	04	01	Morning Chronicle	0002
1815	04	07	Liverpool Mercury	0002	1815	04	03	Caledonian Mercury	0002
1815	04	07	Liverpool Mercury	0003	1815	04	06	Caledonian Mercury	0002
1815	04	08	Caledonian Mercury	0002	1815	04	05	Morning Chronicle	0003
1815	04	08	Caledonian Mercury	0002	1815	04	06	Morning Chronicle	0002
1815	04	08	Leeds Mercury	0002	1815	04	05	Morning Chronicle	0003
1815	04	08	Leeds Mercury	0002	1815	04	06	Caledonian Mercury	0002
1815	04	11	Hull Packet	0001	1815	04	06	Caledonian Mercury	0002
1815	04	11	Hull Packet	0002	1815	04	08	Caledonian Mercury	0002
1815	04	11	Hull Packet	0003	1815	04	08	Leeds Mercury	0002
1815	04	11	Hull Packet	0004	1815	04	01	Leeds Mercury	0003
1815	04	11	Hull Packet	0004	1815	04	06	Caledonian Mercury	0002
1815	04	13	Caledonian Mercury	0004	1815	04	10	Morning Chronicle	0002
1815	04	13	Trewman’s Exeter Flying Post	0003	1815	04	09	Examiner	0016
1815	04	14	Liverpool Mercury	0003	1815	04	09	Examiner	0007
1815	04	15	Ipswich Journal	0001	1815	04	13	Caledonian Mercury	0002
1815	04	15	Ipswich Journal	0004	1815	04	15	Caledonian Mercury	0002
1815	04	15	Ipswich Journal	0004	1815	04	15	Caledonian Mercury	0004
1815	04	15	Leeds Mercury	0004	1815	04	13	Caledonian Mercury	0002
1815	04	16	Examiner	0014	1815	04	12	Morning Chronicle	0003
1815	04	17	Caledonian Mercury	0003	1815	04	15	Morning Chronicle	0003
1815	04	18	Hull Packet	0001	1815	04	15	Leeds Mercury	0004
1815	04	18	Hull Packet	0004	1815	04	10	Morning Chronicle	0002
1815	04	20	Caledonian Mercury	0002	1815	04	18	Morning Chronicle	0002
1815	04	20	Derby Mercury	0002	1815	04	20	Caledonian Mercury	0002
1815	04	20	Trewman’s Exeter Flying Post	0001	1815	04	20	Caledonian Mercury	0004
1815	04	21	Liverpool Mercury	0003	1815	04	15	Caledonian Mercury	0004
1815	04	21	Liverpool Mercury	0006	1815	04	12	Morning Chronicle	0003
1815	04	22	Caledonian Mercury	0003	1815	04	19	Morning Chronicle	0003
1815	04	22	Caledonian Mercury	0003	1815	04	20	Morning Chronicle	0003
1815	04	22	Caledonian Mercury	0004	1815	04	12	Morning Chronicle	0003
1815	04	22	Caledonian Mercury	0004	1815	04	16	Examiner	0005
1815	04	22	Caledonian Mercury	0004	1815	04	17	Morning Chronicle	0002
1815	04	22	Caledonian Mercury	0004	1815	04	19	Morning Chronicle	0003
1815	04	22	Caledonian Mercury	0004	1815	04	20	Trewman’s Exeter Flying Post	0003
1815	04	22	Cobbett’s Weekly Political Register	0002	1815	04	01	Caledonian Mercury	0002
1815	04	22	Cobbett’s Weekly Political Register	0002	1815	04	01	Leeds Mercury	0002
