RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1816	12	05	Trewman’s Exeter Flying Post	0002	1816	12	02	Morning Chronicle	0003
1816	12	06	Liverpool Mercury	0007	1816	12	05	Trewman’s Exeter Flying Post	0003
1816	12	07	Caledonian Mercury	0002	1816	12	04	Morning Chronicle	0003
1816	12	07	Caledonian Mercury	0004	1816	12	05	Trewman’s Exeter Flying Post	0002
1816	12	07	Jackson’s Oxford Journal	0001	1816	12	05	Trewman’s Exeter Flying Post	0004
1816	12	07	Jackson’s Oxford Journal	0004	1816	12	02	Morning Chronicle	0003
1816	12	07	Ipswich Journal	0004	1816	12	03	Morning Chronicle	0003
1816	12	07	Leeds Mercury	0002	1816	12	03	Morning Chronicle	0002
1816	12	09	Caledonian Mercury	0002	1816	12	05	Morning Chronicle	0003
1816	12	10	Morning Chronicle	0003	1816	12	05	Caledonian Mercury	0004
1816	12	12	Caledonian Mercury	0002	1816	12	09	Morning Chronicle	0002
1816	12	12	Caledonian Mercury	0004	1816	12	07	Leeds Mercury	0004
1816	12	12	Trewman’s Exeter Flying Post	0002	1816	12	06	Morning Chronicle	0003
1816	12	12	Trewman’s Exeter Flying Post	0003	1816	12	06	Morning Chronicle	0003
1816	12	13	Liverpool Mercury	0003	1816	12	09	Caledonian Mercury	0004
1816	12	13	Liverpool Mercury	0007	1816	12	12	Caledonian Mercury	0004
1816	12	14	Caledonian Mercury	0002	1816	12	10	Morning Chronicle	0003
1816	12	16	Caledonian Mercury	0002	1816	12	12	Morning Chronicle	0002
1816	12	16	Morning Chronicle	0003	1816	12	15	Examiner	0006
1816	12	19	Trewman’s Exeter Flying Post	0002	1816	12	14	Jackson’s Oxford Journal	0002
1816	12	19	Trewman’s Exeter Flying Post	0003	1816	12	16	Caledonian Mercury	0002
1816	12	20	Liverpool Mercury	0006	1816	12	12	Caledonian Mercury	0004
1816	12	21	Caledonian Mercury	0004	1816	12	14	Morning Chronicle	0003
1816	12	21	Jackson’s Oxford Journal	0001	1816	12	16	Caledonian Mercury	0001
1816	12	21	Leeds Mercury	0004	1816	12	19	Trewman’s Exeter Flying Post	0001
1816	12	22	Examiner	0008	1816	12	20	Morning Chronicle	0002
1816	12	23	Caledonian Mercury	0002	1816	12	19	Morning Chronicle	0003
1816	12	23	Caledonian Mercury	0004	1816	12	17	Morning Chronicle	0004
