RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE	OPAGE
1800	02	03	Aberdeen Journal	0001	1800	02	01	Ipswich Journal	0001
1800	02	04	Hull Packet	0001	1800	02	01	Jackson’s Oxford Journal	0002
1800	02	04	Hull Packet	0003	1800	02	01	Jackson’s Oxford Journal	0002
1800	02	04	Hull Packet	0004	1800	02	01	Jackson’s Oxford Journal	0004
1800	02	06	Caledonian Mercury	0002	1800	02	04	Hull Packet	0003
1800	02	06	Caledonian Mercury	0004	1800	02	03	Aberdeen Journal	0001
1800	02	06	Derby Mercury	0002	1800	02	04	Hull Packet	0004
1800	02	06	Derby Mercury	0003	1800	02	01	Jackson’s Oxford Journal	0002
1800	02	06	Trewman’s Exeter Flying Post	0004	1800	02	04	Hull Packet	0001
1800	02	08	Jackson’s Oxford Journal	0002	1800	02	04	Hull Packet	0004
1800	02	08	Jackson’s Oxford Journal	0004	1800	02	06	Caledonian Mercury	0002
1800	02	08	Ipswich Journal	0004	1800	02	06	Trewman’s Exeter Flying Post	0004
1800	02	10	Caledonian Mercury	0001	1800	02	08	Jackson’s Oxford Journal	0004
1800	02	10	Caledonian Mercury	0002	1800	02	08	Jackson’s Oxford Journal	0002
1800	02	10	Hampshire/Portsmouth Telegraph	0001	1800	02	08	Jackson’s Oxford Journal	0002
1800	02	10	Hampshire/Portsmouth Telegraph	0004	1800	02	08	Ipswich Journal	0004
1800	02	10	Aberdeen Journal	0001	1800	02	01	Caledonian Mercury	0003
1800	02	10	Aberdeen Journal	0002	1800	02	01	Caledonian Mercury	0003
1800	02	10	Aberdeen Journal	0003	1800	02	01	Caledonian Mercury	0003
1800	02	10	Aberdeen Journal	0004	1800	02	04	Hull Packet	0004
1800	02	11	Hull Packet	0001	1800	02	06	Caledonian Mercury	0002
1800	02	11	Hull Packet	0002	1800	02	10	Aberdeen Journal	0003
1800	02	11	Hull Packet	0003	1800	02	10	Caledonian Mercury	0002
1800	02	11	Hull Packet	0004	1800	02	08	Jackson’s Oxford Journal	0001
1800	02	13	Caledonian Mercury	0004	1800	02	10	Aberdeen Journal	0001
1800	02	13	Derby Mercury	0001	1800	02	08	Jackson’s Oxford Journal	0004
1800	02	13	Derby Mercury	0002	1800	02	04	Hull Packet	0001
1800	02	13	Trewman’s Exeter Flying Post	0004	1800	02	08	Jackson’s Oxford Journal	0002
