RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1816	11	03	Examiner	0016	1816	11	01	Liverpool Mercury	0008
1816	11	04	Caledonian Mercury	0002	1816	11	02	Morning Chronicle	0002
1816	11	05	Morning Chronicle	0001	1816	11	01	Liverpool Mercury	0004
1816	11	07	Caledonian Mercury	0002	1816	11	04	Morning Chronicle	0002
1816	11	07	Derby Mercury	0001	1816	11	02	Morning Chronicle	0003
1816	11	07	Trewman’s Exeter Flying Post	0001	1816	11	01	Liverpool Mercury	0005
1816	11	07	Trewman’s Exeter Flying Post	0002	1816	11	01	Morning Chronicle	0004
1816	11	07	Trewman’s Exeter Flying Post	0003	1816	11	01	Morning Chronicle	0003
1816	11	08	Liverpool Mercury	0004	1816	11	05	Morning Chronicle	0001
1816	11	08	Liverpool Mercury	0005	1816	11	07	Trewman’s Exeter Flying Post	0001
1816	11	08	Liverpool Mercury	0006	1816	11	05	Morning Chronicle	0003
1816	11	09	Caledonian Mercury	0002	1816	11	07	Morning Chronicle	0002
1816	11	09	Caledonian Mercury	0004	1816	11	06	Morning Chronicle	0003
1816	11	10	Examiner	0004	1816	11	09	Caledonian Mercury	0004
1816	11	10	Examiner	0005	1816	11	08	Morning Chronicle	0002
1816	11	11	Caledonian Mercury	0002	1816	11	08	Morning Chronicle	0002
1816	11	11	Caledonian Mercury	0004	1816	11	07	Trewman’s Exeter Flying Post	0003
1816	11	12	Morning Chronicle	0003	1816	11	08	Liverpool Mercury	0002
1816	11	14	Caledonian Mercury	0002	1816	11	12	Morning Chronicle	0002
1816	11	14	Caledonian Mercury	0004	1816	11	05	Morning Chronicle	0002
1816	11	14	Trewman’s Exeter Flying Post	0002	1816	11	11	Caledonian Mercury	0002
1816	11	14	Trewman’s Exeter Flying Post	0003	1816	11	09	Morning Chronicle	0003
1816	11	15	Liverpool Mercury	0002	1816	11	08	Morning Chronicle	0002
1816	11	16	Caledonian Mercury	0002	1816	11	12	Morning Chronicle	0002
1816	11	16	Caledonian Mercury	0004	1816	11	14	Trewman’s Exeter Flying Post	0002
1816	11	16	Leeds Mercury	0001	1816	11	07	Trewman’s Exeter Flying Post	0001
1816	11	16	Leeds Mercury	0002	1816	11	12	Morning Chronicle	0002
1816	11	16	Leeds Mercury	0004	1816	11	14	Trewman’s Exeter Flying Post	0001
1816	11	18	Caledonian Mercury	0002	1816	11	16	Morning Chronicle	0002
