RYEAR	RMONTH	RDAY	RTITLE	RPAGE	OYEAR	OMONTH	ODAY	OTITLE
1823	12	03	Derby Mercury	0002	1823	12	01	Bristol Mercury	0002
1823	12	03	Derby Mercury	0004	1823	12	01	Morning Chronicle	0003
1823	12	04	Caledonian Mercury	0004	1823	12	01	Morning Chronicle	0003
1823	12	04	Trewman’s Exeter Flying Post	0003	1823	12	01	Morning Chronicle	0002
1823	12	05	Liverpool Mercury	0002	1823	12	03	Derby Mercury	0002
1823	12	06	Caledonian Mercury	0002	1823	12	03	Morning Chronicle	0002
1823	12	06	Caledonian Mercury	0004	1823	12	03	Morning Chronicle	0004
1823	12	06	Ipswich Journal	0001	1823	12	03	Derby Mercury	0002
1823	12	06	Ipswich Journal	0002	1823	12	05	Morning Chronicle	0003
1823	12	06	Ipswich Journal	0004	1823	12	02	Morning Chronicle	0003
1823	12	06	Leeds Mercury	0002	1823	12	02	Morning Chronicle	0002
1823	12	06	Leeds Mercury	0003	1823	12	01	Caledonian Mercury	0004
1823	12	06	Leeds Mercury	0004	1823	12	03	Morning Chronicle	0002
1823	12	07	Examiner	0003	1823	12	03	Morning Chronicle	0003
1823	12	07	Examiner	0005	1823	12	01	Morning Chronicle	0002
1823	12	07	Examiner	0014	1823	12	04	Morning Chronicle	0003
1823	12	08	Caledonian Mercury	0004	1823	12	03	Derby Mercury	0004
1823	12	08	Hampshire/Portsmouth Telegraph	0002	1823	12	03	Derby Mercury	0002
1823	12	08	Bristol Mercury	0001	1823	12	03	Morning Chronicle	0003
1823	12	08	Bristol Mercury	0004	1823	12	05	Morning Chronicle	0004
1823	12	08	Hull Packet	0001	1823	12	03	Morning Chronicle	0003
1823	12	08	Hull Packet	0004	1823	12	01	Morning Chronicle	0003
1823	12	10	Derby Mercury	0001	1823	12	06	Ipswich Journal	0002
1823	12	10	Derby Mercury	0002	1823	12	06	Ipswich Journal	0002
1823	12	10	Derby Mercury	0004	1823	12	09	Morning Chronicle	0003
1823	12	11	Caledonian Mercury	0002	1823	12	06	Morning Chronicle	0002
1823	12	11	Trewman’s Exeter Flying Post	0001	1823	12	08	Hull Packet	0002
1823	12	11	Trewman’s Exeter Flying Post	0002	1823	12	10	Derby Mercury	0001
1823	12	11	Trewman’s Exeter Flying Post	0003	1823	12	08	Bristol Mercury	0001
1823	12	11	Trewman’s Exeter Flying Post	0004	1823	12	09	Morning Chronicle	0002
1823	12	12	Liverpool Mercury	0002	1823	12	07	Examiner	0007
1823	12	12	Liverpool Mercury	0006	1823	12	03	Derby Mercury	0004
1823	12	13	Caledonian Mercury	0002	1823	12	11	Morning Chronicle	0002
1823	12	13	Caledonian Mercury	0004	1823	12	10	Morning Chronicle	0003
1823	12	13	Ipswich Journal	0002	1823	12	10	Morning Chronicle	0003
1823	12	13	Ipswich Journal	0004	1823	12	10	Morning Chronicle	0004
1823	12	13	Leeds Mercury	0004	1823	12	07	Examiner	0013
1823	12	14	Examiner	0013	1823	12	10	Morning Chronicle	0004
1823	12	14	Examiner	0015	1823	12	11	Morning Chronicle	0003
1823	12	15	Caledonian Mercury	0002	1823	12	06	Morning Chronicle	0004
