PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
520	804	784	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0001
555	789	790	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0004
285	480	462	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0002	1804	04	02	Morning Chronicle	1804.04.02_TheMorningChronicle_0002
282	446	429	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0002	1804	04	02	Morning Chronicle	1804.04.02_TheMorningChronicle_0003
281	402	403	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0002	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0003
254	389	386	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0004	1804	04	03	Hull Packet	1804.04.03_TheHullPacket_0004
274	418	423	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001	1804	04	02	Morning Chronicle	1804.04.02_TheMorningChronicle_0001
490	768	761	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0001
218	381	380	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001	1804	04	04	Morning Chronicle	1804.04.04_TheMorningChronicle_0001
212	349	351	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0004	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0004
200	291	286	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0001	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0004
384	544	551	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0002	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0002
658	972	980	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0002	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0003
237	360	364	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0003	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0004
402	547	537	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0004	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0002
217	342	348	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0004	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0002
315	449	450	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0004	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0003
357	601	602	1804	04	06	Morning Chronicle	1804.04.06_TheMorningChronicle_0001	1804	04	04	Morning Chronicle	1804.04.04_TheMorningChronicle_0001
320	493	508	1804	04	06	Morning Chronicle	1804.04.06_TheMorningChronicle_0001	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001
689	1051	1071	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0001	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001
1534	2187	2121	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0002	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0002
356	507	470	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0003	1804	04	04	Morning Chronicle	1804.04.04_TheMorningChronicle_0002
281	439	443	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0003	1804	04	04	Morning Chronicle	1804.04.04_TheMorningChronicle_0003
238	397	410	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0004	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0004
321	547	542	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0004	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001
279	397	393	1804	04	07	Cobbett’s Weekly Political Register	1804.04.07_Cobbett'sWeeklyPoliticalRegister_0008	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0002
313	423	424	1804	04	07	Cobbett’s Weekly Political Register	1804.04.07_Cobbett'sWeeklyPoliticalRegister_0008	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0002
432	669	680	1804	04	07	Cobbett’s Weekly Political Register	1804.04.07_Cobbett'sWeeklyPoliticalRegister_0009	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0002
519	733	767	1804	04	07	Cobbett’s Weekly Political Register	1804.04.07_Cobbett'sWeeklyPoliticalRegister_0009	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0002
361	532	524	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0001	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0002
221	376	363	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0001	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0003
347	551	540	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0001	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0004
311	441	459	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0002	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0001
279	417	429	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0002	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0002
303	497	503	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0002
539	858	872	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0003
426	699	706	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0002
298	454	461	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0004
1048	1670	1678	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0002
220	354	363	1804	04	07	Ipswich Journal	1804.04.07_TheIpswichJournal_0004	1804	04	03	Hull Packet	1804.04.03_TheHullPacket_0004
242	380	396	1804	04	07	Ipswich Journal	1804.04.07_TheIpswichJournal_0004	1804	04	05	Derby Mercury	1804.04.05_TheDerbyMercury_0001
265	413	426	1804	04	07	Ipswich Journal	1804.04.07_TheIpswichJournal_0004	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0003
290	486	490	1804	04	07	Ipswich Journal	1804.04.07_TheIpswichJournal_0004	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0001
378	618	619	1804	04	07	Morning Chronicle	1804.04.07_TheMorningChronicle_0001	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001
363	570	574	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0001	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0001
771	1138	1131	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0002	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0002
493	841	813	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0003	1804	04	06	Morning Chronicle	1804.04.06_TheMorningChronicle_0003
242	334	321	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0003	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0003
397	599	605	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0004	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0004
351	513	495	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0004	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001
441	671	674	1804	04	09	Hampshire/Portsmouth Telegraph	1804.04.09_HampshireTelegraphandSussexChronicleetc_0001	1804	04	02	Hampshire/Portsmouth Telegraph	1804.04.02_HampshireTelegraphandSussexChronicleetc_0001
386	604	598	1804	04	09	Hampshire/Portsmouth Telegraph	1804.04.09_HampshireTelegraphandSussexChronicleetc_0004	1804	04	02	Hampshire/Portsmouth Telegraph	1804.04.02_HampshireTelegraphandSussexChronicleetc_0004
240	363	358	1804	04	09	Hampshire/Portsmouth Telegraph	1804.04.09_HampshireTelegraphandSussexChronicleetc_0004	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0002
401	661	650	1804	04	09	Morning Chronicle	1804.04.09_TheMorningChronicle_0001	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001
247	396	388	1804	04	09	Morning Chronicle	1804.04.09_TheMorningChronicle_0001	1804	04	06	Morning Chronicle	1804.04.06_TheMorningChronicle_0001
217	318	314	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0001	1804	04	04	Morning Chronicle	1804.04.04_TheMorningChronicle_0002
224	369	359	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0002	1804	04	03	Hull Packet	1804.04.03_TheHullPacket_0002
238	374	364	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0002	1804	04	07	Ipswich Journal	1804.04.07_TheIpswichJournal_0004
228	318	320	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0002	1804	04	09	Hampshire/Portsmouth Telegraph	1804.04.09_HampshireTelegraphandSussexChronicleetc_0001
388	622	636	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0004	1804	04	05	Trewman’s Exeter Flying Post	1804.04.05_Trewman'sExeterFlyingPost_0002
216	348	347	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0004	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0004
227	365	360	1804	04	10	Morning Chronicle	1804.04.10_TheMorningChronicle_0001	1804	04	03	Morning Chronicle	1804.04.03_TheMorningChronicle_0001
346	590	576	1804	04	10	Morning Chronicle	1804.04.10_TheMorningChronicle_0001	1804	04	05	Morning Chronicle	1804.04.05_TheMorningChronicle_0001
243	414	399	1804	04	10	Morning Chronicle	1804.04.10_TheMorningChronicle_0001	1804	04	06	Morning Chronicle	1804.04.06_TheMorningChronicle_0001
230	397	390	1804	04	10	Morning Chronicle	1804.04.10_TheMorningChronicle_0001	1804	04	07	Morning Chronicle	1804.04.07_TheMorningChronicle_0001
340	499	519	1804	04	11	Aberdeen Journal	1804.04.11_TheAberdeenJournal_0001	1804	04	04	Aberdeen Journal	1804.04.04_TheAberdeenJournal_0001
220	379	375	1804	04	11	Aberdeen Journal	1804.04.11_TheAberdeenJournal_0001	1804	04	04	Aberdeen Journal	1804.04.04_TheAberdeenJournal_0004
214	356	349	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0001
363	557	589	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	05	Caledonian Mercury	1804.04.05_CaledonianMercury_0001
243	377	373	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	07	Caledonian Mercury	1804.04.07_CaledonianMercury_0001
269	445	441	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	07	Jackson’s Oxford Journal	1804.04.07_Jackson'sOxfordJournal_0002
478	716	727	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	09	Caledonian Mercury	1804.04.09_CaledonianMercury_0001
210	332	318	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0001	1804	04	10	Hull Packet	1804.04.10_TheHullPacket_0002
295	413	421	1804	04	12	Caledonian Mercury	1804.04.12_CaledonianMercury_0002	1804	04	02	Caledonian Mercury	1804.04.02_CaledonianMercury_0004
