PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
519	673	699	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0002	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0002
247	301	293	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0003	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0003
946	1179	1196	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0004	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0002
1454	2159	2096	1830	09	02	North Wales Chronicle	1830.09.02_NorthWalesChronicle_0001	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0001
816	1113	1135	1830	09	03	Freeman’s Journal	1830.09.03_Freeman'sJournalandDailyCommercialAdvertiser_0001	1830	09	01	Freeman’s Journal	1830.09.01_Freeman'sJournalandDailyCommercialAdvertiser_0001
218	315	313	1830	09	03	Freeman’s Journal	1830.09.03_Freeman'sJournalandDailyCommercialAdvertiser_0002	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0003
212	251	241	1830	09	03	Liverpool Mercury	1830.09.03_LiverpoolMercuryetc_0002	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0002
304	388	365	1830	09	03	Liverpool Mercury	1830.09.03_LiverpoolMercuryetc_0002	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
232	288	284	1830	09	03	Liverpool Mercury	1830.09.03_LiverpoolMercuryetc_0002	1830	09	03	Freeman’s Journal	1830.09.03_Freeman'sJournalandDailyCommercialAdvertiser_0003
243	286	284	1830	09	03	Belfast News-Letter	1830.09.03_TheBelfastNews-Letter_0001	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0004
590	798	828	1830	09	03	Belfast News-Letter	1830.09.03_TheBelfastNews-Letter_0002	1830	09	01	Derby Mercury	1830.09.01_TheDerbyMercury_0002
509	697	694	1830	09	03	Belfast News-Letter	1830.09.03_TheBelfastNews-Letter_0002	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0002
449	618	635	1830	09	03	Belfast News-Letter	1830.09.03_TheBelfastNews-Letter_0002	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0004
302	469	476	1830	09	04	Caledonian Mercury	1830.09.04_CaledonianMercury_0002	1830	09	03	Freeman’s Journal	1830.09.03_Freeman'sJournalandDailyCommercialAdvertiser_0003
243	323	329	1830	09	04	Cobbett’s Weekly Political Register	1830.09.04_Cobbett'sWeeklyPoliticalRegister_0015	1830	09	04	Cobbett’s Weekly Political Register	1830.09.04_Cobbett'sWeeklyPoliticalRegister_0002
519	751	752	1830	09	04	Freeman’s Journal	1830.09.04_Freeman'sJournalandDailyCommercialAdvertiser_0001	1830	09	02	Freeman’s Journal	1830.09.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
