PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
557	744	705	1810	05	02	Aberdeen Journal	1810.05.02_TheAberdeenJournal_0002	1810	05	01	Hull Packet	1810.05.01_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0004
390	638	642	1810	05	03	Trewman’s Exeter Flying Post	1810.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
323	480	486	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0003	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
310	453	442	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0004	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
435	609	612	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0005	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
230	342	338	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0006	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
348	512	519	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0013	1810	05	01	Morning Chronicle	1810.05.01_TheMorningChronicle_0003
676	988	978	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0001	1810	05	01	Morning Chronicle	1810.05.01_TheMorningChronicle_0003
369	491	501	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0001	1810	05	03	Trewman’s Exeter Flying Post	1810.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
211	298	288	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004	1810	05	01	Hull Packet	1810.05.01_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0003
489	631	641	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0002
210	357	353	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004	1810	05	03	Derby Mercury	1810.05.03_TheDerbyMercury_0004
226	269	272	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0015
237	300	304	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0016
272	480	486	1810	05	05	Morning Chronicle	1810.05.05_TheMorningChronicle_0004	1810	05	02	Morning Chronicle	1810.05.02_TheMorningChronicle_0004
226	356	360	1810	05	07	Caledonian Mercury	1810.05.07_CaledonianMercury_0001	1810	05	03	Caledonian Mercury	1810.05.03_CaledonianMercury_0001
233	375	386	1810	05	07	Caledonian Mercury	1810.05.07_CaledonianMercury_0004	1810	05	01	Morning Chronicle	1810.05.01_TheMorningChronicle_0003
352	564	567	1810	05	07	Caledonian Mercury	1810.05.07_CaledonianMercury_0004	1810	05	05	Cobbett’s Weekly Political Register	1810.05.05_Cobbett'sWeeklyPoliticalRegister_0013
545	703	694	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1810	05	01	Hull Packet	1810.05.01_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001
204	305	316	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1810	05	03	Trewman’s Exeter Flying Post	1810.05.03_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0004
353	509	531	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0001
367	534	547	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001	1810	05	05	Jackson’s Oxford Journal	1810.05.05_Jackson'sOxfordJournal_0004
241	321	322	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002	1810	05	01	Hull Packet	1810.05.01_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0001
221	336	324	1810	05	08	Hull Packet	1810.05.08_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002	1810	05	01	Hull Packet	1810.05.01_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0002
513	824	804	1810	05	09	Aberdeen Journal	1810.05.09_TheAberdeenJournal_0001	1810	05	02	Aberdeen Journal	1810.05.02_TheAberdeenJournal_0001
