PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
269	399	376	1804	01	04	Aberdeen Journal	1804.01.04_TheAberdeenJournal_0001	1804	01	02	Hampshire/Portsmouth Telegraph	1804.01.02_HampshireTelegraphandSussexChronicleetc_0004
202	315	299	1804	01	04	Aberdeen Journal	1804.01.04_TheAberdeenJournal_0002	1804	01	02	Hampshire/Portsmouth Telegraph	1804.01.02_HampshireTelegraphandSussexChronicleetc_0002
307	497	512	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0004	1804	01	02	Morning Chronicle	1804.01.02_TheMorningChronicle_0004
300	381	406	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0001	1804	01	02	Caledonian Mercury	1804.01.02_CaledonianMercury_0003
305	457	440	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002	1804	01	02	Morning Chronicle	1804.01.02_TheMorningChronicle_0003
270	438	429	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0002	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
276	464	469	1804	01	05	Morning Chronicle	1804.01.05_TheMorningChronicle_0001	1804	01	03	Morning Chronicle	1804.01.03_TheMorningChronicle_0001
351	547	564	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0004	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0002
760	1091	1057	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0002	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
214	343	339	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0002	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0003
225	343	337	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003	1804	01	04	Aberdeen Journal	1804.01.04_TheAberdeenJournal_0004
346	493	497	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0004
373	589	612	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0001	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
200	331	344	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0001	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0002
303	475	472	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0001	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0004
681	1063	1040	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
240	377	391	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0003
221	321	320	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0004
613	910	952	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0002
210	340	343	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0001	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
212	369	366	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0002	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
235	366	372	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0002	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0004
339	497	513	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0002	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0002
304	432	432	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0002	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003
227	346	349	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0004	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0003
385	651	667	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0004	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0001
478	734	745	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0004	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002
250	405	417	1804	01	07	Morning Chronicle	1804.01.07_TheMorningChronicle_0004	1804	01	03	Morning Chronicle	1804.01.03_TheMorningChronicle_0004
396	685	694	1804	01	07	Morning Chronicle	1804.01.07_TheMorningChronicle_0004	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0004
215	312	302	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0001	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003
217	282	273	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0003	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
1231	1789	1834	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0001	1804	01	02	Hampshire/Portsmouth Telegraph	1804.01.02_HampshireTelegraphandSussexChronicleetc_0001
367	547	552	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0004	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
225	315	323	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0004	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
443	595	596	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0004	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002
372	618	608	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0004	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0004
216	357	357	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0001	1804	01	02	Morning Chronicle	1804.01.02_TheMorningChronicle_0001
281	471	482	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0001	1804	01	05	Morning Chronicle	1804.01.05_TheMorningChronicle_0001
208	305	309	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0002	1804	01	07	Cobbett’s Weekly Political Register	1804.01.07_Cobbett'sAnnualRegister_0015
217	344	345	1804	01	10	Hull Packet	1804.01.10_TheHullPacket_0001	1804	01	03	Hull Packet	1804.01.03_TheHullPacket_0001
259	377	386	1804	01	10	Hull Packet	1804.01.10_TheHullPacket_0004	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0003
320	536	549	1804	01	10	Hull Packet	1804.01.10_TheHullPacket_0004	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0004
425	698	679	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0001	1804	01	03	Morning Chronicle	1804.01.03_TheMorningChronicle_0001
534	756	755	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0003	1804	01	07	Cobbett’s Weekly Political Register	1804.01.07_Cobbett'sAnnualRegister_0012
313	466	449	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0003	1804	01	07	Cobbett’s Weekly Political Register	1804.01.07_Cobbett'sAnnualRegister_0013
231	406	415	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0004	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0004
358	593	598	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0004	1804	01	07	Morning Chronicle	1804.01.07_TheMorningChronicle_0004
783	1282	1262	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0001	1804	01	04	Aberdeen Journal	1804.01.04_TheAberdeenJournal_0001
612	960	959	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0001	1804	01	04	Aberdeen Journal	1804.01.04_TheAberdeenJournal_0004
312	498	475	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	04	Morning Chronicle	1804.01.04_TheMorningChronicle_0002
229	370	361	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
325	514	505	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0003
367	538	521	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002
476	770	737	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0004
443	669	648	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	09	Hampshire/Portsmouth Telegraph	1804.01.09_HampshireTelegraphandSussexChronicleetc_0004
285	457	438	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0002	1804	01	10	Hull Packet	1804.01.10_TheHullPacket_0004
217	327	319	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0002
319	516	503	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0003
244	396	399	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0002
276	424	405	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0004
252	387	387	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0002
361	527	505	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003
404	564	529	1804	01	11	Aberdeen Journal	1804.01.11_TheAberdeenJournal_0003	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0002
203	316	316	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0001	1804	01	02	Morning Chronicle	1804.01.02_TheMorningChronicle_0001
251	430	438	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0001	1804	01	05	Morning Chronicle	1804.01.05_TheMorningChronicle_0001
654	1016	1022	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0001	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0001
503	752	769	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0001	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0001
1017	1530	1541	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0004	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0004
243	375	375	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0004	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0002
600	953	986	1804	01	12	Derby Mercury	1804.01.12_TheDerbyMercury_0004	1804	01	05	Derby Mercury	1804.01.05_TheDerbyMercury_0004
236	332	333	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0001	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0001
210	347	338	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0004	1804	01	06	Morning Chronicle	1804.01.06_TheMorningChronicle_0004
245	415	426	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0004	1804	01	09	Morning Chronicle	1804.01.09_TheMorningChronicle_0004
284	490	482	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0004	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0004
258	402	395	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0002	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003
227	343	340	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0002	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0002
296	454	482	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0003	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0002
595	872	865	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0003	1804	01	05	Trewman’s Exeter Flying Post	1804.01.05_Trewman'sExeterFlyingPost_0003
207	295	292	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0001	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0001
505	740	742	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0001	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0001
225	340	341	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0001	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0004
239	332	346	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0002	1804	01	12	Derby Mercury	1804.01.12_TheDerbyMercury_0002
298	439	447	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0002	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0001
255	415	421	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0002	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0004
703	1043	1055	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0004	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0004
477	659	648	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0004	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0003
646	1060	1027	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0004	1804	01	07	Caledonian Mercury	1804.01.07_CaledonianMercury_0004
468	758	744	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0004	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0001
268	435	427	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0004	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0004
322	449	458	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0001	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002
210	338	336	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0001	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0003
491	782	781	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0001	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0002
344	456	454	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0001	1804	01	10	Morning Chronicle	1804.01.10_TheMorningChronicle_0003
203	319	323	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0001	1804	01	12	Trewman’s Exeter Flying Post	1804.01.12_Trewman'sExeterFlyingPost_0004
266	399	385	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0002	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0002
211	319	318	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0002	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0002
350	497	487	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0002	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0001
210	304	296	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0002	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0002
723	995	1019	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0002	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0002
934	1391	1391	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0003	1804	01	07	Jackson’s Oxford Journal	1804.01.07_Jackson'sOxfordJournal_0003
273	431	434	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0004	1804	01	12	Derby Mercury	1804.01.12_TheDerbyMercury_0002
260	376	361	1804	01	14	Jackson’s Oxford Journal	1804.01.14_Jackson'sOxfordJournal_0004	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0002
484	738	733	1804	01	14	Ipswich Journal	1804.01.14_TheIpswichJournal_0001	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0001
530	816	819	1804	01	14	Ipswich Journal	1804.01.14_TheIpswichJournal_0001	1804	01	07	Ipswich Journal	1804.01.07_TheIpswichJournal_0003
211	338	341	1804	01	14	Morning Chronicle	1804.01.14_TheMorningChronicle_0001	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0001
213	355	359	1804	01	14	Morning Chronicle	1804.01.14_TheMorningChronicle_0001	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0001
204	334	336	1804	01	14	Morning Chronicle	1804.01.14_TheMorningChronicle_0001	1804	01	13	Morning Chronicle	1804.01.13_TheMorningChronicle_0001
314	570	574	1804	01	14	Morning Chronicle	1804.01.14_TheMorningChronicle_0004	1804	01	11	Morning Chronicle	1804.01.11_TheMorningChronicle_0004
428	665	663	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0001	1804	01	02	Caledonian Mercury	1804.01.02_CaledonianMercury_0003
274	427	405	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0001	1804	01	05	Caledonian Mercury	1804.01.05_CaledonianMercury_0001
385	573	569	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0001	1804	01	09	Caledonian Mercury	1804.01.09_CaledonianMercury_0001
407	583	582	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0001	1804	01	12	Caledonian Mercury	1804.01.12_CaledonianMercury_0001
637	840	851	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0001	1804	01	14	Caledonian Mercury	1804.01.14_CaledonianMercury_0001
393	543	540	1804	01	16	Caledonian Mercury	1804.01.16_CaledonianMercury_0002	1804	01	12	Morning Chronicle	1804.01.12_TheMorningChronicle_0002
