PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
252	407	401	1809	01	03	Hull Packet	1809.01.03_TheHullPacketandOriginalWeeklyCommercialLiteraryandGeneralAdvertiser_0003	1809	01	02	Caledonian Mercury	1809.01.02_CaledonianMercury_0002
261	362	361	1809	01	05	Caledonian Mercury	1809.01.05_CaledonianMercury_0002	1809	01	02	Morning Chronicle	1809.01.02_TheMorningChronicle_0003
229	377	372	1809	01	05	Derby Mercury	1809.01.05_TheDerbyMercury_0005	1809	01	05	Derby Mercury	1809.01.05_TheDerbyMercury_0001
232	315	318	1809	01	07	Caledonian Mercury	1809.01.07_CaledonianMercury_0002	1809	01	03	Morning Chronicle	1809.01.03_TheMorningChronicle_0002
713	1089	1042	1809	01	07	Caledonian Mercury	1809.01.07_CaledonianMercury_0002	1809	01	03	Morning Chronicle	1809.01.03_TheMorningChronicle_0003
349	518	498	1809	01	07	Caledonian Mercury	1809.01.07_CaledonianMercury_0002	1809	01	04	Morning Chronicle	1809.01.04_TheMorningChronicle_0002
364	563	566	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0001	1809	01	05	Trewman’s Exeter Flying Post	1809.01.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
246	390	383	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0001	1809	01	07	Caledonian Mercury	1809.01.07_CaledonianMercury_0002
281	450	455	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0002	1809	01	04	Morning Chronicle	1809.01.04_TheMorningChronicle_0002
414	624	641	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0002	1809	01	07	Caledonian Mercury	1809.01.07_CaledonianMercury_0002
212	296	284	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0003	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0001
336	515	515	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0004	1809	01	02	Morning Chronicle	1809.01.02_TheMorningChronicle_0003
426	614	616	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0004	1809	01	05	Caledonian Mercury	1809.01.05_CaledonianMercury_0002
321	539	538	1809	01	07	Ipswich Journal	1809.01.07_TheIpswichJournal_0002	1809	01	07	Jackson’s Oxford Journal	1809.01.07_Jackson'sOxfordJournal_0002
275	444	441	1809	01	07	Ipswich Journal	1809.01.07_TheIpswichJournal_0004	1809	01	02	Morning Chronicle	1809.01.02_TheMorningChronicle_0003
299	464	490	1809	01	08	Examiner	1809.01.08_TheExaminer_0013	1809	01	03	Morning Chronicle	1809.01.03_TheMorningChronicle_0002
280	443	441	1809	01	09	Caledonian Mercury	1809.01.09_CaledonianMercury_0001	1809	01	02	Caledonian Mercury	1809.01.02_CaledonianMercury_0001
264	403	383	1809	01	09	Caledonian Mercury	1809.01.09_CaledonianMercury_0001	1809	01	05	Caledonian Mercury	1809.01.05_CaledonianMercury_0001
