PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
373	559	585	1833	07	01	Freeman’s Journal	1833.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0003	1833	07	01	Caledonian Mercury	1833.07.01_CaledonianMercury_0001
209	366	387	1833	07	01	Freeman’s Journal	1833.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0004	1833	07	01	Caledonian Mercury	1833.07.01_CaledonianMercury_0001
578	929	938	1833	07	01	Freeman’s Journal	1833.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0004	1833	07	01	Caledonian Mercury	1833.07.01_CaledonianMercury_0002
288	374	375	1833	07	01	Morning Chronicle	1833.07.01_TheMorningChronicle_0002	1833	07	01	Hampshire/Portsmouth Telegraph	1833.07.01_HampshireTelegraphandSussexChronicleetc_0004
2159	2551	2545	1833	07	02	Freeman’s Journal	1833.07.02_Freeman'sJournalandDailyCommercialAdvertiser_0001	1833	07	01	Freeman’s Journal	1833.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0001
429	544	553	1833	07	02	Belfast News-Letter	1833.07.02_TheBelfastNews-Letter_0001	1833	07	01	Hampshire/Portsmouth Telegraph	1833.07.01_HampshireTelegraphandSussexChronicleetc_0002
1941	2267	2275	1833	07	03	Freeman’s Journal	1833.07.03_Freeman'sJournalandDailyCommercialAdvertiser_0001	1833	07	01	Freeman’s Journal	1833.07.01_Freeman'sJournalandDailyCommercialAdvertiser_0001
1918	2237	2243	1833	07	03	Freeman’s Journal	1833.07.03_Freeman'sJournalandDailyCommercialAdvertiser_0001	1833	07	02	Freeman’s Journal	1833.07.02_Freeman'sJournalandDailyCommercialAdvertiser_0001
527	716	725	1833	07	03	Freeman’s Journal	1833.07.03_Freeman'sJournalandDailyCommercialAdvertiser_0002	1833	07	01	Morning Chronicle	1833.07.01_TheMorningChronicle_0003
258	423	428	1833	07	03	Freeman’s Journal	1833.07.03_Freeman'sJournalandDailyCommercialAdvertiser_0002	1833	07	01	Morning Chronicle	1833.07.01_TheMorningChronicle_0004
