PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
561	825	819	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0003	1828	05	01	North Wales Chronicle	1828.05.01_NorthWalesChronicle_0004
307	433	434	1828	05	02	Liverpool Mercury	1828.05.02_LiverpoolMercuryetc_0006	1828	05	01	North Wales Chronicle	1828.05.01_NorthWalesChronicle_0004
220	334	354	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0001	1828	05	01	North Wales Chronicle	1828.05.01_NorthWalesChronicle_0003
331	454	458	1828	05	03	Newcastle Courant	1828.05.03_TheNewcastleCourantetc_0003	1828	05	03	Newcastle Courant	1828.05.03_TheNewcastleCourantetc_0001
369	541	548	1828	05	03	Newcastle Courant	1828.05.03_TheNewcastleCourantetc_0004	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0004
282	372	382	1828	05	04	Examiner	1828.05.04_TheExaminer_0002	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0002
427	558	594	1828	05	04	Examiner	1828.05.04_TheExaminer_0009	1828	05	03	Morning Chronicle	1828.05.03_TheMorningChronicle_0002
734	912	933	1828	05	04	Examiner	1828.05.04_TheExaminer_0013	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0003
220	353	347	1828	05	04	Examiner	1828.05.04_TheExaminer_0013	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0002
272	331	319	1828	05	05	Hampshire/Portsmouth Telegraph	1828.05.05_HampshireTelegraphandSussexChronicleetc_0002	1828	05	04	Examiner	1828.05.04_TheExaminer_0010
591	804	834	1828	05	06	Belfast News-Letter	1828.05.06_TheBelfastNews-Letter_0001	1828	05	02	Belfast News-Letter	1828.05.02_TheBelfastNews-Letter_0001
207	259	252	1828	05	06	Belfast News-Letter	1828.05.06_TheBelfastNews-Letter_0003	1828	05	02	Belfast News-Letter	1828.05.02_TheBelfastNews-Letter_0001
491	738	717	1828	05	06	Belfast News-Letter	1828.05.06_TheBelfastNews-Letter_0003	1828	05	02	Belfast News-Letter	1828.05.02_TheBelfastNews-Letter_0003
594	915	931	1828	05	06	Bristol Mercury	1828.05.06_TheBristolMercury_0001	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0002
211	293	307	1828	05	06	Bristol Mercury	1828.05.06_TheBristolMercury_0001	1828	05	02	Liverpool Mercury	1828.05.02_LiverpoolMercuryetc_0008
213	286	280	1828	05	06	Bristol Mercury	1828.05.06_TheBristolMercury_0004	1828	05	04	Examiner	1828.05.04_TheExaminer_0010
208	324	326	1828	05	06	Bristol Mercury	1828.05.06_TheBristolMercury_0004	1828	05	05	Hampshire/Portsmouth Telegraph	1828.05.05_HampshireTelegraphandSussexChronicleetc_0002
251	357	343	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0002
343	515	502	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0004
625	791	753	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001	1828	05	03	Newcastle Courant	1828.05.03_TheNewcastleCourantetc_0004
500	612	580	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001	1828	05	04	Examiner	1828.05.04_TheExaminer_0006
1012	1269	1227	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0002	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0003
346	459	447	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0002	1828	05	02	Morning Chronicle	1828.05.02_TheMorningChronicle_0004
589	736	702	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0002	1828	05	04	Examiner	1828.05.04_TheExaminer_0013
413	541	545	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0003	1828	05	03	Newcastle Courant	1828.05.03_TheNewcastleCourantetc_0004
393	521	526	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0004	1828	05	01	North Wales Chronicle	1828.05.01_NorthWalesChronicle_0004
353	458	447	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0004	1828	05	02	Liverpool Mercury	1828.05.02_LiverpoolMercuryetc_0006
663	887	866	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0004	1828	05	06	Belfast News-Letter	1828.05.06_TheBelfastNews-Letter_0004
216	291	289	1828	05	06	Morning Chronicle	1828.05.06_TheMorningChronicle_0003	1828	05	06	Morning Chronicle	1828.05.06_TheMorningChronicle_0002
202	235	219	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0001	1828	05	04	Examiner	1828.05.04_TheExaminer_0006
227	324	319	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0001	1828	05	04	Examiner	1828.05.04_TheExaminer_0007
963	1280	1306	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0001	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001
342	438	432	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0003	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0001
207	312	306	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0004	1828	05	03	Ipswich Journal	1828.05.03_TheIpswichJournal_0002
261	366	358	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0004	1828	05	06	Bristol Mercury	1828.05.06_TheBristolMercury_0004
220	365	359	1828	05	07	Morning Chronicle	1828.05.07_TheMorningChronicle_0001	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0001
296	487	493	1828	05	07	Morning Chronicle	1828.05.07_TheMorningChronicle_0001	1828	05	05	Morning Chronicle	1828.05.05_TheMorningChronicle_0002
210	355	346	1828	05	08	Caledonian Mercury	1828.05.08_CaledonianMercury_0001	1828	05	03	Caledonian Mercury	1828.05.03_CaledonianMercury_0001
385	624	619	1828	05	08	North Wales Chronicle	1828.05.08_NorthWalesChronicle_0004	1828	05	06	Hull Packet	1828.05.06_TheHullPacketandHumberMercury_0001
200	325	318	1828	05	08	North Wales Chronicle	1828.05.08_NorthWalesChronicle_0004	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0001
756	1171	1224	1828	05	08	Morning Chronicle	1828.05.08_TheMorningChronicle_0001	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0004
211	277	269	1828	05	09	Liverpool Mercury	1828.05.09_LiverpoolMercuryetc_0002	1828	05	02	Morning Chronicle	1828.05.02_TheMorningChronicle_0004
208	262	271	1828	05	09	Liverpool Mercury	1828.05.09_LiverpoolMercuryetc_0002	1828	05	07	Derby Mercury	1828.05.07_TheDerbyMercury_0004
245	339	322	1828	05	09	Liverpool Mercury	1828.05.09_LiverpoolMercuryetc_0003	1828	05	01	Morning Chronicle	1828.05.01_TheMorningChronicle_0002
310	383	371	1828	05	09	Liverpool Mercury	1828.05.09_LiverpoolMercuryetc_0003	1828	05	04	Examiner	1828.05.04_TheExaminer_0002
