PM	OL	OR	RYEAR	RMONTH	RDAY	RTITLE	RFILENAME	OYEAR	OMONTH	ODAY	OTITLE	OFILENAME
267	365	359	1836	06	03	Hull Packet	1836.06.03_TheHullPacket_0003	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0004
255	372	379	1836	06	04	Caledonian Mercury	1836.06.04_CaledonianMercury_0001	1836	06	01	Morning Chronicle	1836.06.01_TheMorningChronicle_0002
706	1001	999	1836	06	04	Caledonian Mercury	1836.06.04_CaledonianMercury_0001	1836	06	02	Caledonian Mercury	1836.06.02_CaledonianMercury_0001
249	342	338	1836	06	04	Caledonian Mercury	1836.06.04_CaledonianMercury_0004	1836	06	03	Belfast News-Letter	1836.06.03_TheBelfastNews-Letter_0002
217	270	282	1836	06	04	Preston Chronicle	1836.06.04_PrestonChronicle_0002	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0004
232	277	286	1836	06	04	Preston Chronicle	1836.06.04_PrestonChronicle_0004	1836	06	03	Belfast News-Letter	1836.06.03_TheBelfastNews-Letter_0004
206	272	273	1836	06	04	Preston Chronicle	1836.06.04_PrestonChronicle_0004	1836	06	03	Hull Packet	1836.06.03_TheHullPacket_0003
225	411	398	1836	06	04	Preston Chronicle	1836.06.04_PrestonChronicle_0004	1836	06	03	Hull Packet	1836.06.03_TheHullPacket_0004
218	278	285	1836	06	04	Bristol Mercury	1836.06.04_TheBristolMercury_0001	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0001
453	580	615	1836	06	04	Bristol Mercury	1836.06.04_TheBristolMercury_0004	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0004
503	695	722	1836	06	04	Bristol Mercury	1836.06.04_TheBristolMercury_0004	1836	06	04	Caledonian Mercury	1836.06.04_CaledonianMercury_0002
336	439	459	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0001
246	308	323	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0002
401	475	489	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	01	Derby Mercury	1836.06.01_TheDerbyMercury_0004
222	256	265	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	02	Caledonian Mercury	1836.06.02_CaledonianMercury_0003
207	234	238	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	03	Belfast News-Letter	1836.06.03_TheBelfastNews-Letter_0004
200	238	235	1836	06	04	Ipswich Journal	1836.06.04_TheIpswichJournal_0001	1836	06	03	Hull Packet	1836.06.03_TheHullPacket_0002
