YEAR	MONTH	DAY	TITLE	PAGE
1824	04	01	Trewman’s Exeter Flying Post	0003
1824	04	01	Morning Chronicle	0002
1824	04	03	Ipswich Journal	0002
1824	04	02	Morning Chronicle	0003
1824	04	04	Examiner	0012
1824	04	03	Caledonian Mercury	0002
1824	04	01	Caledonian Mercury	0002
1824	04	03	Ipswich Journal	0003
1824	04	03	Leeds Mercury	0004
1824	04	03	Morning Chronicle	0001
1824	04	01	Morning Chronicle	0003
1824	04	03	Morning Chronicle	0003
1824	04	03	Morning Chronicle	0004
1824	04	05	Morning Chronicle	0003
1824	04	02	Morning Chronicle	0001
1824	04	06	Morning Chronicle	0002
1824	04	07	Morning Chronicle	0001
1824	04	06	Morning Chronicle	0004
1824	04	09	Morning Chronicle	0003
1824	04	02	Morning Chronicle	0002
1824	04	05	Caledonian Mercury	0002
1824	04	06	Morning Chronicle	0003
1824	04	07	Morning Chronicle	0003
1824	04	08	Morning Chronicle	0003
1824	04	10	Ipswich Journal	0004
1824	04	10	Leeds Mercury	0002
1824	04	10	Morning Chronicle	0003
1824	04	12	Hampshire/Portsmouth Telegraph	0003
1824	04	13	Morning Chronicle	0003
1824	04	15	Trewman’s Exeter Flying Post	0001
1824	04	13	Morning Chronicle	0001
1824	04	14	Morning Chronicle	0003
1824	04	14	Derby Mercury	0001
1824	04	14	Derby Mercury	0003
1824	04	16	Morning Chronicle	0003
1824	04	14	Morning Chronicle	0002
1824	04	12	Morning Chronicle	0003
1824	04	17	Morning Chronicle	0003
1824	04	14	Morning Chronicle	0004
1824	04	17	Morning Chronicle	0004
1824	04	15	Morning Chronicle	0002
1824	04	17	Morning Chronicle	0002
1824	04	16	Morning Chronicle	0002
1824	04	16	Morning Chronicle	0004
1824	04	17	Leeds Mercury	0002
1824	04	18	Examiner	0008
1824	04	19	Morning Chronicle	0003
1824	04	20	Morning Chronicle	0003
1824	04	20	Morning Chronicle	0004
1824	04	22	Morning Chronicle	0003
1824	04	23	Morning Chronicle	0002
1824	04	24	Morning Chronicle	0002
1824	04	20	Morning Chronicle	0002
1824	04	21	Morning Chronicle	0003
1824	04	21	Morning Chronicle	0004
1824	04	25	Examiner	0008
1824	04	19	Caledonian Mercury	0004
1824	04	26	Bristol Mercury	0003
1824	04	28	Derby Mercury	0002
1824	04	26	Morning Chronicle	0002
1824	04	01	Trewman’s Exeter Flying Post	0002
1824	04	29	Morning Chronicle	0003
1824	04	28	Aberdeen Journal	0003
1824	04	22	Caledonian Mercury	0003
1824	04	28	Morning Chronicle	0002
1824	04	27	Morning Chronicle	0001
1824	04	30	Liverpool Mercury	0008
1824	04	30	Morning Chronicle	0002
1824	04	27	Morning Chronicle	0002
1824	04	28	Derby Mercury	0001
1824	04	01	Trewman’s Exeter Flying Post	0001
1824	04	08	Morning Chronicle	0001
1824	04	10	Leeds Mercury	0004
