YEAR	MONTH	DAY	TITLE	PAGE
1822	12	01	Examiner	0015
1822	12	01	Examiner	0011
1822	12	01	Examiner	0002
1822	12	02	Morning Chronicle	0001
1822	12	02	Glasgow Herald	0002
1822	12	02	Morning Chronicle	0003
1822	12	02	Morning Chronicle	0004
1822	12	04	Morning Chronicle	0002
1822	12	02	Bristol Mercury	0002
1822	12	03	Morning Chronicle	0001
1822	12	04	Morning Chronicle	0004
1822	12	04	Derby Mercury	0001
1822	12	05	Morning Chronicle	0004
1822	12	05	Morning Chronicle	0001
1822	12	03	Morning Chronicle	0003
1822	12	04	Morning Chronicle	0003
1822	12	05	Morning Chronicle	0002
1822	12	07	Morning Chronicle	0002
1822	12	07	Caledonian Mercury	0003
1822	12	06	Morning Chronicle	0002
1822	12	07	Morning Chronicle	0003
1822	12	11	Morning Chronicle	0002
1822	12	06	Morning Chronicle	0004
1822	12	09	Morning Chronicle	0002
1822	12	10	Morning Chronicle	0002
1822	12	06	Morning Chronicle	0001
1822	12	11	Morning Chronicle	0004
1822	12	02	Hampshire/Portsmouth Telegraph	0002
1822	12	12	Caledonian Mercury	0003
1822	12	12	Morning Chronicle	0002
1822	12	12	Morning Chronicle	0003
1822	12	12	Morning Chronicle	0004
1822	12	10	Morning Chronicle	0003
1822	12	13	Morning Chronicle	0001
1822	12	13	Morning Chronicle	0002
1822	12	11	Morning Chronicle	0003
1822	12	09	Morning Chronicle	0003
1822	12	18	Morning Chronicle	0003
1822	12	17	Morning Chronicle	0004
1822	12	15	Examiner	0012
1822	12	16	Morning Chronicle	0002
1822	12	18	Morning Chronicle	0002
1822	12	13	Morning Chronicle	0003
1822	12	13	Morning Chronicle	0004
1822	12	16	Bristol Mercury	0002
1822	12	19	Caledonian Mercury	0002
1822	12	16	Morning Chronicle	0003
1822	12	19	Morning Chronicle	0001
1822	12	19	Morning Chronicle	0003
1822	12	19	Morning Chronicle	0004
1822	12	15	Examiner	0013
1822	12	17	Morning Chronicle	0002
1822	12	18	Morning Chronicle	0004
1822	12	21	Morning Chronicle	0001
1822	12	20	Morning Chronicle	0002
1822	12	20	Morning Chronicle	0004
1822	12	09	Morning Chronicle	0004
1822	12	15	Examiner	0010
1822	12	21	Caledonian Mercury	0003
1822	12	21	Morning Chronicle	0002
1822	12	23	Morning Chronicle	0002
1822	12	24	Morning Chronicle	0004
1822	12	21	Morning Chronicle	0003
1822	12	23	Morning Chronicle	0003
1822	12	24	Morning Chronicle	0002
1822	12	25	Morning Chronicle	0004
1822	12	26	Caledonian Mercury	0003
1822	12	17	Morning Chronicle	0003
1822	12	25	Morning Chronicle	0002
1822	12	27	Liverpool Mercury	0008
1822	12	26	Morning Chronicle	0002
1822	12	22	Examiner	0009
1822	12	22	Examiner	0012
1822	12	24	Morning Chronicle	0003
1822	12	25	Morning Chronicle	0001
1822	12	27	Morning Chronicle	0002
1822	12	25	Morning Chronicle	0003
1822	12	29	Examiner	0001
1822	12	27	Liverpool Mercury	0002
1822	12	27	Liverpool Mercury	0003
1822	12	30	Glasgow Herald	0002
1822	12	16	Morning Chronicle	0001
1822	12	23	Morning Chronicle	0004
1822	12	30	Morning Chronicle	0002
1822	12	31	Morning Chronicle	0002
1822	12	28	Caledonian Mercury	0003
1822	12	28	Morning Chronicle	0002
1822	12	29	Examiner	0003
1822	12	28	Morning Chronicle	0004
1822	12	31	Morning Chronicle	0003
1822	12	27	Morning Chronicle	0004
1822	12	28	Caledonian Mercury	0001
1822	12	30	Caledonian Mercury	0001
1822	12	26	Morning Chronicle	0004
