YEAR	MONTH	DAY	TITLE	PAGE
1834	09	01	Morning Chronicle	0001
1834	09	01	Hampshire/Portsmouth Telegraph	0002
1834	09	03	Derby Mercury	0002
1834	09	03	Morning Chronicle	0004
1834	09	01	Hampshire/Portsmouth Telegraph	0004
1834	09	02	Morning Chronicle	0003
1834	09	05	Liverpool Mercury	0005
1834	09	03	Morning Chronicle	0003
1834	09	04	Morning Chronicle	0002
1834	09	05	Liverpool Mercury	0006
1834	09	05	Liverpool Mercury	0007
1834	09	05	Liverpool Mercury	0008
1834	09	01	Morning Chronicle	0003
1834	09	03	Derby Mercury	0004
1834	09	03	Morning Chronicle	0001
1834	09	03	Morning Chronicle	0002
1834	09	04	Trewman’s Exeter Flying Post	0004
1834	09	01	Hampshire/Portsmouth Telegraph	0003
1834	09	05	Hull Packet	0001
1834	09	05	Hull Packet	0002
1834	09	01	Caledonian Mercury	0002
1834	09	06	Morning Chronicle	0003
1834	09	04	Morning Chronicle	0004
1834	09	05	Morning Chronicle	0004
1834	09	06	Morning Chronicle	0004
1834	09	02	Morning Chronicle	0004
1834	09	05	Hull Packet	0003
1834	09	06	Morning Chronicle	0001
1834	09	02	Morning Chronicle	0002
1834	09	03	Aberdeen Journal	0003
1834	09	07	Examiner	0009
1834	09	06	Caledonian Mercury	0002
1834	09	06	Caledonian Mercury	0003
1834	09	08	Hampshire/Portsmouth Telegraph	0002
1834	09	05	Morning Chronicle	0003
1834	09	06	Morning Chronicle	0002
1834	09	09	Morning Chronicle	0001
1834	09	08	Caledonian Mercury	0003
1834	09	07	Examiner	0013
1834	09	10	Morning Chronicle	0003
1834	09	09	North Wales Chronicle	0001
1834	09	11	Caledonian Mercury	0001
1834	09	06	Manchester Times	0003
1834	09	11	Trewman’s Exeter Flying Post	0003
1834	09	12	Liverpool Mercury	0008
1834	09	09	Morning Chronicle	0003
1834	09	11	Trewman’s Exeter Flying Post	0002
1834	09	05	Liverpool Mercury	0001
1834	09	07	Examiner	0007
1834	09	11	Caledonian Mercury	0003
1834	09	08	Morning Chronicle	0001
1834	09	08	Morning Chronicle	0002
1834	09	12	Hull Packet	0001
1834	09	10	Morning Chronicle	0002
1834	09	12	Morning Chronicle	0001
1834	09	13	Caledonian Mercury	0002
1834	09	13	Morning Chronicle	0004
1834	09	13	Newcastle Courant	0001
1834	09	14	Examiner	0011
1834	09	12	Morning Chronicle	0003
1834	09	14	Examiner	0016
1834	09	13	Caledonian Mercury	0003
1834	09	14	Examiner	0003
1834	09	15	Caledonian Mercury	0003
1834	09	13	Morning Chronicle	0002
1834	09	11	Morning Chronicle	0003
1834	09	15	Morning Chronicle	0004
1834	09	14	Examiner	0013
1834	09	15	Caledonian Mercury	0001
1834	09	18	Caledonian Mercury	0003
1834	09	18	Caledonian Mercury	0004
1834	09	18	Morning Chronicle	0001
1834	09	18	Morning Chronicle	0002
1834	09	18	Morning Chronicle	0003
1834	09	18	Caledonian Mercury	0002
1834	09	17	Morning Chronicle	0003
1834	09	15	Morning Chronicle	0002
1834	09	15	Hampshire/Portsmouth Telegraph	0004
1834	09	17	Morning Chronicle	0004
1834	09	19	Belfast News-Letter	0002
1834	09	18	Trewman’s Exeter Flying Post	0003
1834	09	17	Morning Chronicle	0002
1834	09	19	Liverpool Mercury	0006
1834	09	14	Examiner	0001
1834	09	14	Examiner	0004
1834	09	15	Caledonian Mercury	0002
1834	09	15	Morning Chronicle	0003
1834	09	19	Liverpool Mercury	0007
1834	09	19	Hull Packet	0003
1834	09	20	Ipswich Journal	0002
1834	09	19	Morning Chronicle	0004
1834	09	19	Morning Chronicle	0001
1834	09	19	Morning Chronicle	0002
1834	09	17	Morning Chronicle	0001
1834	09	18	Morning Chronicle	0004
1834	09	20	Caledonian Mercury	0003
1834	09	22	Morning Chronicle	0003
1834	09	22	Hampshire/Portsmouth Telegraph	0004
1834	09	22	Caledonian Mercury	0003
1834	09	09	Morning Chronicle	0002
1834	09	19	Morning Chronicle	0003
1834	09	24	Morning Chronicle	0001
1834	09	23	Morning Chronicle	0004
1834	09	24	Derby Mercury	0002
1834	09	23	Morning Chronicle	0002
1834	09	26	Belfast News-Letter	0004
1834	09	20	Morning Chronicle	0004
1834	09	25	Morning Chronicle	0003
1834	09	20	Morning Chronicle	0002
1834	09	22	Morning Chronicle	0004
1834	09	21	Examiner	0008
1834	09	22	Caledonian Mercury	0004
1834	09	21	Examiner	0003
1834	09	22	Morning Chronicle	0001
1834	09	25	Morning Chronicle	0004
1834	09	26	Morning Chronicle	0004
1834	09	24	Morning Chronicle	0002
1834	09	27	Morning Chronicle	0003
1834	09	21	Examiner	0004
1834	09	29	Morning Chronicle	0004
1834	09	30	Morning Chronicle	0003
1834	09	29	Morning Chronicle	0001
1834	09	29	Morning Chronicle	0002
1834	09	29	Morning Chronicle	0003
1834	09	29	Caledonian Mercury	0001
1834	09	27	Ipswich Journal	0002
1834	09	27	Newcastle Courant	0003
1834	09	27	Morning Chronicle	0002
1834	09	30	Morning Chronicle	0001
1834	09	28	Examiner	0010
1834	09	30	Belfast News-Letter	0004
1834	09	27	Morning Chronicle	0004
1834	09	28	Examiner	0006
1834	09	30	Morning Chronicle	0004
1834	09	14	Examiner	0007
1834	09	25	Morning Chronicle	0002
1834	09	01	Caledonian Mercury	0004
1834	09	05	Liverpool Mercury	0003
1834	09	05	Belfast News-Letter	0001
1834	09	06	Newcastle Courant	0003
1834	09	13	Preston Chronicle	0001
1834	09	01	Caledonian Mercury	0001
1834	09	17	Aberdeen Journal	0001
1834	09	06	Caledonian Mercury	0001
1834	09	21	Examiner	0015
1834	09	11	Morning Chronicle	0002
1834	09	28	Examiner	0014
1834	09	06	Manchester Times	0002
