YEAR	MONTH	DAY	TITLE	PAGE
1815	07	01	Jackson’s Oxford Journal	0002
1815	07	01	Jackson’s Oxford Journal	0003
1815	07	01	Caledonian Mercury	0004
1815	07	04	Morning Chronicle	0003
1815	07	06	Morning Chronicle	0003
1815	07	06	Caledonian Mercury	0002
1815	07	08	Morning Chronicle	0002
1815	07	07	Morning Chronicle	0003
1815	07	08	Cobbett’s Weekly Political Register	0008
1815	07	08	Cobbett’s Weekly Political Register	0009
1815	07	07	Morning Chronicle	0002
1815	07	06	Trewman’s Exeter Flying Post	0001
1815	07	10	Morning Chronicle	0002
1815	07	11	Morning Chronicle	0002
1815	07	09	Examiner	0003
1815	07	04	Hull Packet	0002
1815	07	11	Hull Packet	0001
1815	07	12	Morning Chronicle	0002
1815	07	13	Morning Chronicle	0002
1815	07	15	Morning Chronicle	0002
1815	07	15	Leeds Mercury	0003
1815	07	15	Cobbett’s Weekly Political Register	0015
1815	07	20	Caledonian Mercury	0002
1815	07	20	Trewman’s Exeter Flying Post	0002
1815	07	19	Morning Chronicle	0002
1815	07	17	Caledonian Mercury	0004
1815	07	19	Morning Chronicle	0003
1815	07	20	Trewman’s Exeter Flying Post	0004
1815	07	17	Morning Chronicle	0003
1815	07	24	Morning Chronicle	0001
1815	07	25	Morning Chronicle	0002
1815	07	22	Caledonian Mercury	0003
1815	07	26	Morning Chronicle	0002
1815	07	28	Liverpool Mercury	0008
1815	07	25	Morning Chronicle	0003
1815	07	21	Liverpool Mercury	0003
1815	07	28	Liverpool Mercury	0005
1815	07	27	Morning Chronicle	0002
1815	07	27	Morning Chronicle	0003
1815	07	26	Morning Chronicle	0003
1815	07	28	Morning Chronicle	0002
1815	07	29	Cobbett’s Weekly Political Register	0015
1815	07	29	Morning Chronicle	0002
1815	07	30	Examiner	0006
1815	07	20	Morning Chronicle	0002
1815	07	27	Caledonian Mercury	0004
1815	07	28	Morning Chronicle	0003
1815	07	29	Cobbett’s Weekly Political Register	0011
1815	07	31	Morning Chronicle	0002
1815	07	29	Morning Chronicle	0003
1815	07	29	Jackson’s Oxford Journal	0002
1815	07	28	Morning Chronicle	0001
1815	07	31	Caledonian Mercury	0001
1815	07	29	Leeds Mercury	0003
1815	07	01	Jackson’s Oxford Journal	0004
1815	07	29	Leeds Mercury	0004
