YEAR	MONTH	DAY	TITLE	PAGE
1810	05	01	Hull Packet	0004
1810	05	03	Caledonian Mercury	0002
1810	05	01	Morning Chronicle	0003
1810	05	03	Trewman’s Exeter Flying Post	0004
1810	05	01	Hull Packet	0003
1810	05	03	Derby Mercury	0004
1810	05	03	Caledonian Mercury	0003
1810	05	07	Morning Chronicle	0002
1810	05	08	Hull Packet	0003
1810	05	12	Jackson’s Oxford Journal	0002
1810	05	12	Ipswich Journal	0004
1810	05	11	Morning Chronicle	0003
1810	05	14	Hampshire/Portsmouth Telegraph	0001
1810	05	17	Caledonian Mercury	0002
1810	05	19	Caledonian Mercury	0002
1810	05	19	Jackson’s Oxford Journal	0002
1810	05	10	Caledonian Mercury	0001
1810	05	12	Caledonian Mercury	0001
1810	05	14	Caledonian Mercury	0001
1810	05	14	Caledonian Mercury	0003
1810	05	17	Morning Chronicle	0002
1810	05	19	Caledonian Mercury	0003
1810	05	23	Morning Chronicle	0003
1810	05	26	Jackson’s Oxford Journal	0004
1810	05	19	Ipswich Journal	0004
1810	05	26	Ipswich Journal	0003
1810	05	26	Ipswich Journal	0002
1810	05	12	Jackson’s Oxford Journal	0001
1810	05	08	Hull Packet	0004
