YEAR	MONTH	DAY	TITLE	PAGE
1817	07	01	Morning Chronicle	0005
1817	07	03	Trewman’s Exeter Flying Post	0003
1817	07	03	Trewman’s Exeter Flying Post	0001
1817	07	04	Liverpool Mercury	0005
1817	07	05	Leeds Mercury	0003
1817	07	05	Morning Chronicle	0002
1817	07	07	Morning Chronicle	0002
1817	07	04	Morning Chronicle	0002
1817	07	09	Morning Chronicle	0002
1817	07	09	Morning Chronicle	0003
1817	07	08	Morning Chronicle	0002
1817	07	14	Morning Chronicle	0002
1817	07	05	Morning Chronicle	0003
1817	07	16	Morning Chronicle	0002
1817	07	17	Trewman’s Exeter Flying Post	0001
1817	07	15	Morning Chronicle	0003
1817	07	15	Morning Chronicle	0002
1817	07	18	Morning Chronicle	0003
1817	07	12	Cobbett’s Weekly Political Register	0009
1817	07	12	Cobbett’s Weekly Political Register	0010
1817	07	19	Ipswich Journal	0002
1817	07	20	Examiner	0007
1817	07	19	Caledonian Mercury	0003
1817	07	20	Examiner	0013
1817	07	20	Examiner	0014
1817	07	03	Caledonian Mercury	0004
1817	07	12	Caledonian Mercury	0003
1817	07	22	Morning Chronicle	0002
1817	07	23	Morning Chronicle	0002
1817	07	14	Morning Chronicle	0003
1817	07	24	Morning Chronicle	0002
1817	07	04	Liverpool Mercury	0008
1817	07	19	Morning Chronicle	0003
1817	07	18	Morning Chronicle	0002
1817	07	26	Jackson’s Oxford Journal	0004
1817	07	25	Liverpool Mercury	0007
1817	07	28	Morning Chronicle	0002
1817	07	01	Hull Packet	0001
1817	07	12	Jackson’s Oxford Journal	0004
1817	07	21	Caledonian Mercury	0002
1817	07	12	Cobbett’s Weekly Political Register	0011
1817	07	30	Morning Chronicle	0002
1817	07	31	Caledonian Mercury	0004
1817	07	31	Morning Chronicle	0002
1817	07	30	Morning Chronicle	0003
1817	07	19	Morning Chronicle	0002
1817	07	24	Trewman’s Exeter Flying Post	0003
1817	07	25	Liverpool Mercury	0005
1817	07	17	Trewman’s Exeter Flying Post	0002
