YEAR	MONTH	DAY	TITLE	PAGE
1828	11	01	Morning Chronicle	0001
1828	11	01	Newcastle Courant	0004
1828	11	02	Examiner	0008
1828	11	03	Morning Chronicle	0004
1828	11	01	Ipswich Journal	0004
1828	11	03	Caledonian Mercury	0002
1828	11	01	Morning Chronicle	0002
1828	11	01	Ipswich Journal	0002
1828	11	04	Belfast News-Letter	0002
1828	11	04	Morning Chronicle	0003
1828	11	02	Examiner	0005
1828	11	01	Newcastle Courant	0001
1828	11	03	Morning Chronicle	0003
1828	11	04	Morning Chronicle	0002
1828	11	01	Morning Chronicle	0003
1828	11	07	Morning Chronicle	0003
1828	11	07	Morning Chronicle	0004
1828	11	08	Ipswich Journal	0002
1828	11	06	Morning Chronicle	0003
1828	11	08	Morning Chronicle	0003
1828	11	07	Manchester Times	0007
1828	11	07	Manchester Times	0003
1828	11	02	Examiner	0002
1828	11	05	Morning Chronicle	0002
1828	11	11	Morning Chronicle	0002
1828	11	11	Morning Chronicle	0003
1828	11	05	Morning Chronicle	0003
1828	11	10	Hampshire/Portsmouth Telegraph	0003
1828	11	10	Morning Chronicle	0001
1828	11	11	Bristol Mercury	0003
1828	11	09	Examiner	0001
1828	11	08	Cobbett’s Weekly Political Register	0010
1828	11	12	Morning Chronicle	0002
1828	11	07	Liverpool Mercury	0007
1828	11	14	Belfast News-Letter	0001
1828	11	14	Belfast News-Letter	0002
1828	11	14	Liverpool Mercury	0005
1828	11	07	Morning Chronicle	0002
1828	11	10	Morning Chronicle	0002
1828	11	11	Morning Chronicle	0004
1828	11	13	Morning Chronicle	0004
1828	11	14	Morning Chronicle	0003
1828	11	13	Morning Chronicle	0001
1828	11	13	Morning Chronicle	0003
1828	11	03	Hampshire/Portsmouth Telegraph	0001
1828	11	13	Morning Chronicle	0002
1828	11	15	Leeds Mercury	0002
1828	11	13	Caledonian Mercury	0004
1828	11	18	Morning Chronicle	0002
1828	11	18	Morning Chronicle	0003
1828	11	17	Caledonian Mercury	0003
1828	11	14	Morning Chronicle	0002
1828	11	15	Cobbett’s Weekly Political Register	0006
1828	11	15	Cobbett’s Weekly Political Register	0008
1828	11	15	Cobbett’s Weekly Political Register	0010
1828	11	18	Morning Chronicle	0001
1828	11	16	Examiner	0012
1828	11	19	Morning Chronicle	0003
1828	11	21	Liverpool Mercury	0008
1828	11	20	Morning Chronicle	0001
1828	11	15	Morning Chronicle	0004
1828	11	19	Morning Chronicle	0001
1828	11	15	Morning Chronicle	0002
1828	11	15	Morning Chronicle	0003
1828	11	17	Morning Chronicle	0002
1828	11	21	Belfast News-Letter	S0002
1828	11	20	Morning Chronicle	0003
1828	11	22	Morning Chronicle	0002
1828	11	22	Morning Chronicle	0004
1828	11	21	Belfast News-Letter	S0001
1828	11	21	Morning Chronicle	0001
1828	11	23	Examiner	0005
1828	11	22	Morning Chronicle	0003
1828	11	13	Caledonian Mercury	0003
1828	11	23	Examiner	0014
1828	11	19	Morning Chronicle	0002
1828	11	23	Examiner	0012
1828	11	20	Caledonian Mercury	0003
1828	11	08	Newcastle Courant	0003
1828	11	22	Morning Chronicle	0001
1828	11	25	Belfast News-Letter	0002
1828	11	17	Morning Chronicle	0004
1828	11	21	Morning Chronicle	0003
1828	11	26	Derby Mercury	0004
1828	11	27	Morning Chronicle	0001
1828	11	26	Morning Chronicle	0003
1828	11	26	Morning Chronicle	0001
1828	11	15	Leeds Mercury	0003
1828	11	23	Examiner	0001
1828	11	25	Morning Chronicle	0003
1828	11	26	Morning Chronicle	0004
1828	11	27	Morning Chronicle	0003
1828	11	24	Morning Chronicle	0003
1828	11	25	Morning Chronicle	0001
1828	11	21	Morning Chronicle	0002
1828	11	24	Morning Chronicle	0002
1828	11	29	Morning Chronicle	0004
1828	11	27	Morning Chronicle	0002
1828	11	28	Morning Chronicle	0003
1828	11	28	Manchester Times	0003
1828	11	24	Morning Chronicle	0004
1828	11	25	Morning Chronicle	0004
1828	11	28	Belfast News-Letter	0002
1828	11	29	Morning Chronicle	0002
1828	11	25	Hull Packet	0002
1828	11	23	Examiner	0011
1828	11	30	Examiner	0002
1828	11	26	Morning Chronicle	0002
1828	11	19	Derby Mercury	0002
1828	11	29	Morning Chronicle	0001
1828	11	29	Caledonian Mercury	0003
1828	11	19	Morning Chronicle	0004
1828	11	30	Examiner	0015
1828	11	22	Newcastle Courant	0001
1828	11	28	Liverpool Mercury	0005
1828	11	21	Liverpool Mercury	0005
1828	11	28	Liverpool Mercury	0003
1828	11	17	Caledonian Mercury	0001
1828	11	07	Liverpool Mercury	0003
