YEAR	MONTH	DAY	TITLE	PAGE
1802	10	01	Morning Chronicle	0002
1802	10	02	Jackson’s Oxford Journal	0001
1802	10	02	Caledonian Mercury	0003
1802	10	02	Caledonian Mercury	0004
1802	10	02	Jackson’s Oxford Journal	0004
1802	10	02	Morning Chronicle	0002
1802	10	04	Caledonian Mercury	0003
1802	10	06	Morning Chronicle	0002
1802	10	06	Aberdeen Journal	0001
1802	10	07	Morning Chronicle	0002
1802	10	12	Morning Chronicle	0002
1802	10	11	Morning Chronicle	0003
1802	10	09	Jackson’s Oxford Journal	0002
1802	10	09	Cobbett’s Weekly Political Register	0010
1802	10	09	Cobbett’s Weekly Political Register	0011
1802	10	13	Morning Chronicle	0002
1802	10	14	Trewman’s Exeter Flying Post	0004
1802	10	14	Morning Chronicle	0002
1802	10	09	Ipswich Journal	0002
1802	10	18	Morning Chronicle	0002
1802	10	19	Morning Chronicle	0002
1802	10	16	Caledonian Mercury	0004
1802	10	19	Morning Chronicle	0003
1802.10.18_HampshireTelegraph&PortsmouthGazette_0002,
1802	10	23	Jackson’s Oxford Journal	0002
1802	10	18	Caledonian Mercury	0003
1802	10	23	Cobbett’s Weekly Political Register	0006
1802	10	16	Cobbett’s Weekly Political Register	0005
1802.10.25_HampshireTelegraph&PortsmouthGazette_0003,
1802.10.11_HampshireTelegraph&PortsmouthGazette_0001,
1802	10	22	Morning Chronicle	0004
1802	10	23	Morning Chronicle	0002
1802.10.25_HampshireTelegraph&PortsmouthGazette_0002,
1802	10	22	Morning Chronicle	0003
1802	10	23	Cobbett’s Weekly Political Register	0007
1802	10	21	Morning Chronicle	0004
1802	10	30	Caledonian Mercury	0002
1802	10	30	Jackson’s Oxford Journal	0002
1802	10	30	Ipswich Journal	0002
1802	10	30	Cobbett’s Weekly Political Register	0007
1802	10	30	Cobbett’s Weekly Political Register	0008
1802	10	21	Trewman’s Exeter Flying Post	0002
1802	10	07	Trewman’s Exeter Flying Post	0003
1802	10	18	Morning Chronicle	0001
