YEAR	MONTH	DAY	TITLE	PAGE
1823	01	01	Derby Mercury	0002
1823	01	01	Derby Mercury	0004
1823	01	01	Aberdeen Journal	0002
1823	01	01	Morning Chronicle	0004
1823	01	04	Morning Chronicle	0003
1823	01	04	Ipswich Journal	0004
1823	01	04	Morning Chronicle	0002
1823	01	02	Morning Chronicle	0003
1823	01	03	Morning Chronicle	0003
1823	01	04	Caledonian Mercury	0004
1823	01	02	Caledonian Mercury	0003
1823	01	06	Caledonian Mercury	0002
1823	01	06	Morning Chronicle	0003
1823	01	07	Morning Chronicle	0004
1823	01	04	Morning Chronicle	0004
1823	01	08	Morning Chronicle	0003
1823	01	07	Morning Chronicle	0003
1823	01	10	Morning Chronicle	0003
1823	01	11	Morning Chronicle	0002
1823	01	07	Morning Chronicle	0002
1823	01	09	Morning Chronicle	0002
1823	01	10	Morning Chronicle	0002
1823	01	03	Morning Chronicle	0001
1823	01	04	Ipswich Journal	0003
1823	01	11	Morning Chronicle	0003
1823	01	13	Morning Chronicle	0002
1823	01	02	Trewman’s Exeter Flying Post	0001
1823	01	02	Morning Chronicle	0004
1823	01	15	Morning Chronicle	0003
1823	01	14	Morning Chronicle	0002
1823	01	09	Morning Chronicle	0003
1823	01	14	Morning Chronicle	0003
1823	01	13	Hull Packet	0003
1823	01	15	Morning Chronicle	0002
1823	01	15	Morning Chronicle	0004
1823	01	17	Morning Chronicle	0002
1823	01	16	Morning Chronicle	0002
1823	01	01	Derby Mercury	0001
1823	01	16	Caledonian Mercury	0003
1823	01	16	Morning Chronicle	0004
1823	01	15	Derby Mercury	0004
1823	01	20	Morning Chronicle	0002
1823	01	20	Morning Chronicle	0003
1823	01	21	Morning Chronicle	0002
1823	01	20	Morning Chronicle	0004
1823	01	22	Morning Chronicle	0002
1823	01	17	Morning Chronicle	0003
1823	01	22	Derby Mercury	0003
1823	01	23	Morning Chronicle	0002
1823	01	24	Morning Chronicle	0002
1823	01	22	Morning Chronicle	0003
1823	01	22	Morning Chronicle	0001
1823	01	23	Morning Chronicle	0003
1823	01	24	Morning Chronicle	0001
1823	01	24	Morning Chronicle	0003
1823	01	25	Morning Chronicle	0002
1823	01	28	Morning Chronicle	0002
1823	01	27	Morning Chronicle	0002
1823	01	29	Derby Mercury	0001
1823	01	28	Morning Chronicle	0003
1823	01	25	Ipswich Journal	0001
1823	01	29	Morning Chronicle	0002
1823	01	29	Morning Chronicle	0003
1823	01	30	Morning Chronicle	0003
1823	01	10	Liverpool Mercury	0001
1823	01	23	Morning Chronicle	0004
1823	01	27	Morning Chronicle	0003
1823	01	29	Morning Chronicle	0004
1823	01	30	Morning Chronicle	0002
1823	01	16	Morning Chronicle	0003
1823	01	30	Caledonian Mercury	0004
1823	01	31	Morning Chronicle	0003
1823	01	22	Morning Chronicle	0004
1823	01	07	Morning Chronicle	0001
1823	01	25	Morning Chronicle	0004
1823	01	06	Morning Chronicle	0001
