YEAR	MONTH	DAY	TITLE	PAGE
1818	05	01	Morning Chronicle	0002
1818	05	01	Morning Chronicle	0003
1818	05	02	Jackson’s Oxford Journal	0002
1818	05	02	Caledonian Mercury	0002
1818	05	02	Ipswich Journal	0002
1818	05	02	Morning Chronicle	0003
1818	05	05	Morning Chronicle	0002
1818	05	07	Morning Chronicle	0002
1818	05	08	Liverpool Mercury	0006
1818	05	08	Liverpool Mercury	0003
1818	05	05	Hull Packet	0001
1818	05	08	Morning Chronicle	0003
1818	05	11	Morning Chronicle	0002
1818	05	11	Morning Chronicle	0003
1818	05	02	Jackson’s Oxford Journal	0004
1818	05	05	Hull Packet	0002
1818	05	16	Jackson’s Oxford Journal	0001
1818	05	16	Ipswich Journal	0002
1818	05	09	Jackson’s Oxford Journal	0004
1818	05	14	Caledonian Mercury	0002
1818	05	14	Caledonian Mercury	0004
1818	05	14	Trewman’s Exeter Flying Post	0004
1818	05	14	Morning Chronicle	0002
1818	05	16	Morning Chronicle	0002
1818	05	18	Caledonian Mercury	0003
1818	05	09	Morning Chronicle	0003
1818	05	15	Morning Chronicle	0003
1818	05	18	Morning Chronicle	0002
1818	05	02	Jackson’s Oxford Journal	0001
1818	05	09	Jackson’s Oxford Journal	0001
1818	05	21	Trewman’s Exeter Flying Post	0001
1818	05	16	Ipswich Journal	0003
1818	05	21	Morning Chronicle	0002
1818	05	23	Caledonian Mercury	0002
1818	05	21	Caledonian Mercury	0002
1818	05	23	Morning Chronicle	0002
1818	05	23	Morning Chronicle	0003
1818	05	23	Ipswich Journal	0001
1818	05	20	Morning Chronicle	0002
1818	05	25	Morning Chronicle	0003
1818	05	26	Morning Chronicle	0002
1818	05	27	Morning Chronicle	0001
1818	05	02	Leeds Mercury	0004
1818	05	11	Caledonian Mercury	0001
1818	05	21	Caledonian Mercury	0001
