YEAR	MONTH	DAY	TITLE	PAGE
1830	10	01	Freeman’s Journal	0002
1830	10	02	Freeman’s Journal	0002
1830	10	03	Examiner	0004
1830	10	03	Examiner	0009
1830	10	02	Ipswich Journal	0002
1830	10	03	Examiner	0007
1830	10	03	Examiner	0010
1830	10	01	Belfast News-Letter	0002
1830	10	04	Freeman’s Journal	0003
1830	10	05	Freeman’s Journal	0002
1830	10	06	Derby Mercury	0002
1830	10	07	Freeman’s Journal	0004
1830	10	04	Freeman’s Journal	0002
1830	10	04	Hampshire/Portsmouth Telegraph	0004
1830	10	06	Derby Mercury	0004
1830	10	08	Freeman’s Journal	0002
1830	10	08	Freeman’s Journal	0004
1830	10	08	Liverpool Mercury	0006
1830	10	09	Freeman’s Journal	0004
1830	10	09	Ipswich Journal	0002
1830	10	09	Cobbett’s Weekly Political Register	0002
1830	10	09	Cobbett’s Weekly Political Register	0005
1830	10	10	Examiner	0010
1830	10	05	Hull Packet	0002
1830	10	09	Freeman’s Journal	0002
1830	10	11	Caledonian Mercury	0002
1830	10	11	Freeman’s Journal	0002
1830	10	08	Liverpool Mercury	0011
1830	10	11	Hampshire/Portsmouth Telegraph	0003
1830	10	08	Liverpool Mercury	0002
1830	10	08	Liverpool Mercury	0010
1830	10	13	Aberdeen Journal	0003
1830	10	10	Examiner	0001
1830	10	10	Examiner	0004
1830	10	03	Examiner	0011
1830	10	10	Examiner	0013
1830	10	13	Derby Mercury	0002
1830	10	14	Freeman’s Journal	0002
1830	10	14	Freeman’s Journal	0004
1830	10	13	Freeman’s Journal	0003
1830	10	15	Freeman’s Journal	0003
1830	10	15	Liverpool Mercury	0007
1830	10	10	Examiner	0008
1830	10	14	Caledonian Mercury	0002
1830	10	14	Freeman’s Journal	0003
1830	10	16	Freeman’s Journal	0004
1830	10	16	Ipswich Journal	0001
1830	10	17	Examiner	0013
1830	10	17	Examiner	0009
1830	10	14	North Wales Chronicle	0003
1830	10	18	Freeman’s Journal	0003
1830	10	16	Freeman’s Journal	0003
1830	10	16	Ipswich Journal	0002
1830	10	16	Freeman’s Journal	0001
1830	10	16	Freeman’s Journal	0002
1830	10	19	Hull Packet	0001
1830	10	15	Liverpool Mercury	0001
1830	10	01	Liverpool Mercury	0003
1830	10	05	Belfast News-Letter	0004
1830	10	17	Examiner	0002
1830	10	18	Caledonian Mercury	0003
1830	10	20	Freeman’s Journal	0002
1830	10	22	Liverpool Mercury	0008
1830	10	19	Hull Packet	0004
1830	10	18	Freeman’s Journal	0004
1830	10	19	Freeman’s Journal	0004
1830	10	23	Caledonian Mercury	0002
1830	10	08	Liverpool Mercury	0007
1830	10	25	Caledonian Mercury	0002
1830	10	25	Freeman’s Journal	0004
1830	10	25	Hampshire/Portsmouth Telegraph	0003
1830	10	16	Ipswich Journal	0003
1830	10	26	Hull Packet	0003
1830	10	25	Freeman’s Journal	0003
1830	10	26	Freeman’s Journal	0003
1830	10	29	Freeman’s Journal	0004
1830	10	30	Ipswich Journal	0002
1830	10	31	Examiner	0008
1830	10	17	Examiner	0014
1830	10	31	Examiner	0013
1830	10	31	Examiner	0012
1830	10	27	Derby Mercury	0004
1830	10	08	Belfast News-Letter	0004
1830	10	22	Belfast News-Letter	0001
1830	10	01	Liverpool Mercury	0007
1830	10	08	Liverpool Mercury	0005
1830	10	26	Hull Packet	0001
1830	10	29	Belfast News-Letter	0004
1830	10	04	Freeman’s Journal	0001
1830	10	29	Liverpool Mercury	0001
1830	10	06	Derby Mercury	0003
1830	10	06	Freeman’s Journal	0001
1830	10	12	Freeman’s Journal	0001
1830	10	14	North Wales Chronicle	0001
