YEAR	MONTH	DAY	TITLE	PAGE
1815	10	01	Examiner	0008
1815	10	01	Examiner	0005
1815	10	05	Caledonian Mercury	0002
1815	10	03	Hull Packet	0001
1815	10	02	Morning Chronicle	0002
1815	10	05	Morning Chronicle	0002
1815	10	04	Morning Chronicle	0002
1815	10	06	Morning Chronicle	0002
1815	10	06	Morning Chronicle	0003
1815	10	07	Morning Chronicle	0003
1815	10	10	Morning Chronicle	0002
1815	10	10	Morning Chronicle	0003
1815	10	07	Morning Chronicle	0002
1815	10	11	Morning Chronicle	0002
1815	10	12	Morning Chronicle	0002
1815	10	11	Morning Chronicle	0003
1815	10	07	Caledonian Mercury	0001
1815	10	12	Trewman’s Exeter Flying Post	0003
1815	10	14	Morning Chronicle	0002
1815	10	16	Morning Chronicle	0002
1815	10	17	Morning Chronicle	0002
1815	10	12	Morning Chronicle	0003
1815	10	05	Caledonian Mercury	0001
1815	10	16	Caledonian Mercury	0002
1815	10	07	Caledonian Mercury	0004
1815	10	07	Cobbett’s Weekly Political Register	0010
1815	10	07	Cobbett’s Weekly Political Register	0011
1815	10	18	Morning Chronicle	0002
1815	10	19	Morning Chronicle	0002
1815	10	18	Morning Chronicle	0003
1815	10	19	Morning Chronicle	0003
1815	10	16	Morning Chronicle	0003
1815	10	19	Trewman’s Exeter Flying Post	0001
1815	10	03	Hull Packet	0004
1815	10	13	Morning Chronicle	0003
1815	10	21	Cobbett’s Weekly Political Register	0012
1815	10	20	Morning Chronicle	0002
1815	10	21	Cobbett’s Weekly Political Register	0011
1815	10	21	Cobbett’s Weekly Political Register	0013
1815	10	21	Morning Chronicle	0002
1815	10	21	Cobbett’s Weekly Political Register	0015
1815	10	23	Morning Chronicle	0002
1815	10	26	Trewman’s Exeter Flying Post	0001
1815	10	24	Morning Chronicle	0002
1815	10	25	Morning Chronicle	0003
1815	10	23	Morning Chronicle	0003
1815	10	26	Trewman’s Exeter Flying Post	0003
1815	10	28	Ipswich Journal	0004
1815	10	28	Morning Chronicle	0002
1815	10	27	Morning Chronicle	0001
1815	10	27	Morning Chronicle	0002
1815	10	27	Morning Chronicle	0003
1815	10	26	Morning Chronicle	0002
1815	10	13	Liverpool Mercury	0006
1815	10	31	Morning Chronicle	0002
1815	10	29	Examiner	0007
1815	10	06	Liverpool Mercury	0008
1815	10	07	Leeds Mercury	0004
